Season,TeamName,Votes,TeamID,Seed,Result
2016,UConn,800,3163,1,Champions
2016,South Carolina,756,3376,1,Sweet Sixteen
2016,Notre Dame,745,3323,1,Sweet Sixteen
2016,Baylor,706,3124,1,Elite Eight
2016,Maryland,672,3268,2,2nd Round
2016,Oregon State,628,3333,2,Final Four
2016,Texas,603,3400,2,Elite Eight
2016,Louisville,563,3257,3,2nd Round
2016,Ohio State,493,3326,3,2nd Round
2016,Florida State,437,3199,5,Sweet Sixteen
2016,Arizona State,428,3113,2,2nd Round
2016,UCLA,420,3417,3,Sweet Sixteen
2016,Kentucky,415,3246,3,Sweet Sixteen
2016,Mississippi State,388,3280,5,Sweet Sixteen
2016,Syracuse,364,3393,4,Runner-up
2016,Stanford,345,3390,4,Elite Eight
2016,Michigan State,300,3277,4,2nd Round
2016,Texas A&M,297,3401,4,2nd Round
2016,Miami,226,3274,5,1st Round
2016,South Florida,221,3378,6,2nd Round
2016,DePaul,173,3177,6,Sweet Sixteen
2016,Colorado State,109,3161,11,1st Round
2016,Oklahoma,100,3328,6,2nd Round
2016,BYU,48,3140,7,1st Round
2016,Florida,41,3196,5,1st Round
2016,West Virginia,36,3452,6,2nd Round
2016,St. Johns,14,3385,8,1st Round
2016,Florida Gulf Coast,14,3195,Did not make,Missed tournament
2016,UTEP,10,3431,Did not make,Missed tournament
2016,Green Bay,8,3453,10,1st Round
2016,George Washington,8,3203,8,1st Round
2016,Albany,7,3107,12,2nd Round
2016,Seton Hall,6,3371,8,1st Round
2016,Duquesne,5,3182,9,2nd Round
2016,Western Kentucky,4,3443,Did not make,Missed tournament
2016,James Madison,3,3241,11,1st Round
2016,NC State,3,3301,Did not make,Missed tournament
2016,Chattanooga,2,3151,12,1st Round
2016,Villanova,1,3437,Did not make,Missed tournament
2016,Duke,1,3181,Did not make,Missed tournament
2017,UConn,800,3163,1,Final Four
2017,Notre Dame,761,3323,1,Elite Eight
2017,Maryland,733,3268,3,Sweet Sixteen
2017,South Carolina,695,3376,1,Champions
2017,Baylor,670,3124,1,Elite Eight
2017,Stanford,628,3390,2,Final Four
2017,Mississippi State,601,3280,2,Runner-up
2017,Oregon State,573,3333,2,Sweet Sixteen
2017,Duke,516,3181,2,2nd Round
2017,Ohio State,492,3326,5,Sweet Sixteen
2017,Washington,475,3449,3,Sweet Sixteen
2017,Louisville,458,3257,4,Sweet Sixteen
2017,Florida State,416,3199,3,Elite Eight
2017,UCLA,368,3417,4,Sweet Sixteen
2017,Texas,361,3400,3,Sweet Sixteen
2017,Miami,316,3274,4,2nd Round
2017,DePaul,309,3177,7,2nd Round
2017,NC State,248,3301,6,2nd Round
2017,Drake,170,3179,10,1st Round
2017,Oklahoma,152,3328,6,2nd Round
2017,Syracuse,151,3393,8,2nd Round
2017,West Virginia,99,3452,6,2nd Round
2017,Temple,99,3396,7,1st Round
2017,Kentucky,78,3246,4,2nd Round
2017,South Florida,46,3378,11,1st Round
2017,Marquette,40,3266,5,1st Round
2017,Creighton,37,3166,7,2nd Round
2017,Missouri,26,3281,6,2nd Round
2017,Arizona State,26,3113,8,2nd Round
2017,Kansas State,12,3243,7,2nd Round
2017,Indiana,10,3231,Did not make,Missed tournament
2017,Tennessee,9,3397,5,2nd Round
2017,Little Rock,9,3114,Did not make,Missed tournament
2017,Michigan,6,3276,Did not make,Missed tournament
2017,Virginia,4,3438,Did not make,Missed tournament
2017,Elon,2,3189,11,1st Round
2017,Stetson,2,3391,Did not make,Missed tournament
2017,Gonzaga,1,3211,11,1st Round
2017,Jacksonville,1,3239,Did not make,Missed tournament
2018,UConn,800,3163,1,Final Four
2018,Baylor,757,3124,2,Sweet Sixteen
2018,Louisville,728,3257,1,Final Four
2018,Mississippi State,703,3280,1,Runner-up
